"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"241","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ANALÉCIA PINHO","SOLIDARIEDADE"
"242","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DR JECSON DUTRA","SOLIDARIEDADE"
"243","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ARLAND GURGEL","PSC"
"244","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","PASTOR MANUEL MARCOS","PRB"
"245","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DANILVA LIMA","DC"
"246","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","GONTRAN NETO","PT"
"247","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DORA DO ELDORADO","PTB"
"248","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MARCELO DA SILVA","PODE"
"249","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","LUCINEIA MENEZES","PATRIOTA"
"250","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JOSEMIR ANUTE ","SOLIDARIEDADE"
"251","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","BRANCA MENEZES","PSDB"
